what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1323325321138
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1323325321145
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1323325321159
started,bundle,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.adt",1323325321159
started,bundle,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms",1323325321175
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1323325321176
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1323325321177
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1323325321187
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1323325321200
started,bundle,org.eclipse.wst.jsdt.core,1.1.8.v201109150205,"org.eclipse.wst.jsdt.core",1323325321208
started,bundle,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui",1323325321208
started,bundle,org.eclipse.wst.sse.core,1.1.506.v201110201853,"org.eclipse.wst.sse.core",1323325321210
os,sysinfo,,,"macosx",1323325321212
arch,sysinfo,,,"x86_64",1323325321212
ws,sysinfo,,,"cocoa",1323325321212
locale,sysinfo,,,"en_US",1323325321212
processors,sysinfo,,,"4",1323325321212
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1323325321212
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-11M3527",1323325321212
java.specification.name,sysinfo,,,"Java Platform API Specification",1323325321212
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1323325321212
java.specification.version,sysinfo,,,"1.6",1323325321212
java.vendor,sysinfo,,,"Apple Inc.",1323325321212
java.version,sysinfo,,,"1.6.0_29",1323325321212
java.vm.info,sysinfo,,,"mixed mode",1323325321212
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1323325321212
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1323325321212
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1323325321212
java.vm.specification.version,sysinfo,,,"1.0",1323325321212
java.vm.vendor,sysinfo,,,"Apple Inc.",1323325321212
java.vm.version,sysinfo,,,"20.4-b02-402",1323325321212
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1323325322288
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1323325322302
started,bundle,org.eclipse.wst.xml.core,1.1.505.v201109271810,"org.eclipse.wst.xml.core",1323325324742
started,bundle,org.eclipse.wst.css.core,1.1.403.v201103021532,"org.eclipse.wst.css.core",1323325324759
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323325342138
